grid_id,経度,緯度,市役所からの距離_m,DEM地表種別,標高_m,最近接河川,河川からの距離_m,内水浸水ランク,内水想定浸水深,外水浸水ランク_num,外水想定浸水深,最大ランク河川
1,132.4335436,34.3848236,2000.0,地表面,0.44,天満川,363.4,02,0.20～0.49m,4,5.0～10.0m未満,天満川・太田川・旧太田川
2,132.4341969,34.3812313,1990.6,地表面,2.54,天満川,102.5,00,想定区域外,3,3.0～5.0m未満,太田川・旧太田川
3,132.4341832,34.3816817,1981.2,地表面,2.44,天満川,129.0,00,想定区域外,3,3.0～5.0m未満,天満川・太田川・旧太田川
4,132.4341694,34.3821322,1972.9,地表面,1.74,天満川,155.8,00,想定区域外,3,3.0～5.0m未満,天満川・太田川・旧太田川
5,132.4341557,34.3825827,1966.0,地表面,0.74,天満川,183.0,00,想定区域外,4,5.0～10.0m未満,旧太田川
6,132.4341419,34.3830331,1960.2,地表面,0.84,天満川,210.2,01,0.01～0.19m,4,5.0～10.0m未満,太田川・旧太田川
7,132.4341282,34.3834836,1955.8,地表面,1.34,天満川,238.4,00,想定区域外,3,3.0～5.0m未満,天満川・太田川・旧太田川
8,132.4341144,34.3839341,1952.6,地表面,0.94,天満川,265.9,01,0.01～0.19m,3,3.0～5.0m未満,天満川・太田川・旧太田川
9,132.4341007,34.3843845,1950.6,地表面,1.14,天満川,293.4,01,0.01～0.19m,4,5.0～10.0m未満,旧太田川
10,132.4340869,34.384835,1950.0,地表面,0.64,天満川,323.8,02,0.20～0.49m,4,5.0～10.0m未満,天満川・太田川・旧太田川
11,132.4340732,34.3852855,1950.6,地表面,1.04,天満川,325.8,00,想定区域外,4,5.0～10.0m未満,天満川・太田川・旧太田川
12,132.4340594,34.3857359,1952.6,地表面,1.04,天満川,333.1,01,0.01～0.19m,4,5.0～10.0m未満,天満川・太田川・旧太田川
13,132.4340457,34.3861864,1955.8,地表面,1.14,天満川,344.9,01,0.01～0.19m,4,5.0～10.0m未満,天満川・太田川・旧太田川
14,132.4340319,34.3866368,1960.2,地表面,1.04,天満川,362.2,01,0.01～0.19m,4,5.0～10.0m未満,天満川・太田川・旧太田川
15,132.4340182,34.3870873,1966.0,地表面,1.14,天満川,384.0,01,0.01～0.19m,4,5.0～10.0m未満,天満川・太田川・旧太田川
16,132.4340044,34.3875378,1972.9,地表面,0.74,天満川,409.9,02,0.20～0.49m,4,5.0～10.0m未満,天満川・太田川・旧太田川
17,132.4339907,34.3879882,1981.2,地表面,1.14,天満川,439.3,02,0.20～0.49m,4,5.0～10.0m未満,天満川・太田川・旧太田川
18,132.4339769,34.3884387,1990.6,地表面,1.24,天満川,471.2,01,0.01～0.19m,4,5.0～10.0m未満,天満川・太田川・旧太田川
19,132.4347952,34.3794408,1992.5,内水面,0.44,天満川,45.4,00,想定区域外,0,想定区域外,
20,132.4347815,34.3798913,1978.0,内水面,0.44,天満川,19.1,00,想定区域外,0,想定区域外,
21,132.4347677,34.3803417,1964.7,内水面,0.44,天満川,7.1,00,想定区域外,0,想定区域外,
22,132.434754,34.3807922,1952.6,内水面,0.44,天満川,33.6,00,想定区域外,0,想定区域外,
23,132.4347403,34.3812427,1941.6,内水面,0.44,天満川,60.1,00,想定区域外,0,想定区域外,
24,132.4347265,34.3816931,1932.0,地表面,4.44,天満川,86.7,00,想定区域外,0,想定区域外,
25,132.4347128,34.3821436,1923.5,地表面,2.24,天満川,113.9,00,想定区域外,3,3.0～5.0m未満,天満川・太田川・旧太田川
26,132.434699,34.3825941,1916.4,地表面,1.44,天満川,141.0,00,想定区域外,3,3.0～5.0m未満,天満川・太田川・旧太田川
27,132.4346853,34.3830445,1910.5,地表面,1.24,天満川,168.9,00,想定区域外,4,5.0～10.0m未満,太田川・旧太田川
28,132.4346715,34.383495,1905.9,地表面,0.84,天満川,196.8,01,0.01～0.19m,4,5.0～10.0m未満,太田川・旧太田川
29,132.4346578,34.3839455,1902.6,地表面,1.24,天満川,223.7,00,想定区域外,3,3.0～5.0m未満,天満川・太田川・旧太田川
30,132.434644,34.3843959,1900.7,地表面,1.34,天満川,253.7,00,想定区域外,3,3.0～5.0m未満,天満川・太田川・旧太田川
31,132.4346303,34.3848464,1900.0,地表面,1.04,天満川,273.8,01,0.01～0.19m,4,5.0～10.0m未満,天満川・太田川・旧太田川
32,132.4346165,34.3852969,1900.7,地表面,1.14,天満川,276.1,01,0.01～0.19m,3,3.0～5.0m未満,天満川・太田川・旧太田川
33,132.4346028,34.3857473,1902.6,地表面,0.94,天満川,284.1,01,0.01～0.19m,4,5.0～10.0m未満,天満川・太田川・旧太田川
34,132.434589,34.3861978,1905.9,地表面,0.94,天満川,297.5,01,0.01～0.19m,4,5.0～10.0m未満,天満川・太田川・旧太田川
35,132.4345753,34.3866482,1910.5,地表面,1.04,天満川,316.5,01,0.01～0.19m,4,5.0～10.0m未満,天満川・太田川・旧太田川
